path,shape_type,background_color,shape_color,num_sides
images/combined_shapes/shape_0_triangle_on_cross.png,triangle_on_cross,black,"(127, 127, 255)",15
images/combined_shapes/shape_2_arrow.png,arrow,blue,"(255, 127, 0)",7
images/combined_shapes/shape_6_triangle_on_cross.png,triangle_on_cross,white,"(127, 127, 255)",15
images/combined_shapes/shape_7_cross.png,cross,red,"(255, 0, 255)",12
images/combined_shapes/shape_9_star.png,star,red,"(127, 0, 127)",10
images/combined_shapes/shape_10_star.png,star,blue,"(0, 127, 0)",10
images/combined_shapes/shape_12_triangle_on_cross.png,triangle_on_cross,red,"(127, 255, 0)",15
images/combined_shapes/shape_13_cross.png,cross,blue,"(127, 0, 255)",12
images/combined_shapes/shape_14_triangle_on_cross.png,triangle_on_cross,white,"(0, 255, 0)",15
images/combined_shapes/shape_15_arrow.png,arrow,red,"(0, 255, 255)",7
images/combined_shapes/shape_16_star.png,star,black,"(255, 0, 255)",10
images/combined_shapes/shape_18_triangle_on_cross.png,triangle_on_cross,blue,"(127, 255, 127)",15
images/combined_shapes/shape_21_arrow.png,arrow,blue,"(255, 0, 127)",7
images/combined_shapes/shape_23_cross.png,cross,black,"(255, 127, 0)",12
images/combined_shapes/shape_25_cross.png,cross,white,"(127, 127, 255)",12
images/combined_shapes/shape_26_star.png,star,blue,"(255, 0, 127)",10
images/combined_shapes/shape_27_triangle_on_cross.png,triangle_on_cross,white,"(0, 255, 255)",15
images/combined_shapes/shape_28_cross.png,cross,red,"(127, 255, 0)",12
images/combined_shapes/shape_29_arrow.png,arrow,white,"(0, 127, 0)",7
images/combined_shapes/shape_30_star.png,star,white,"(127, 255, 0)",10
images/combined_shapes/shape_31_arrow.png,arrow,red,"(127, 255, 0)",7
images/combined_shapes/shape_33_arrow.png,arrow,red,"(255, 127, 0)",7
images/combined_shapes/shape_34_star.png,star,red,"(127, 255, 127)",10
images/combined_shapes/shape_35_triangle_on_cross.png,triangle_on_cross,black,"(0, 0, 255)",15
images/combined_shapes/shape_38_arrow.png,arrow,black,"(0, 0, 255)",7
images/combined_shapes/shape_40_triangle_on_cross.png,triangle_on_cross,white,"(255, 0, 127)",15
images/combined_shapes/shape_42_arrow.png,arrow,black,"(127, 127, 0)",7
images/combined_shapes/shape_44_star.png,star,white,"(127, 0, 255)",10
images/combined_shapes/shape_45_star.png,star,red,"(255, 0, 255)",10
images/combined_shapes/shape_46_triangle_on_cross.png,triangle_on_cross,blue,"(0, 127, 0)",15
images/combined_shapes/shape_47_arrow.png,arrow,blue,"(127, 127, 0)",7
images/combined_shapes/shape_48_arrow.png,arrow,red,"(0, 127, 127)",7
images/combined_shapes/shape_53_star.png,star,blue,"(0, 127, 255)",10
images/combined_shapes/shape_54_arrow.png,arrow,red,"(255, 127, 0)",7
images/combined_shapes/shape_55_cross.png,cross,black,"(127, 0, 255)",12
images/combined_shapes/shape_56_arrow.png,arrow,red,"(127, 127, 255)",7
images/combined_shapes/shape_57_star.png,star,blue,"(255, 255, 0)",10
images/combined_shapes/shape_61_arrow.png,arrow,blue,"(255, 0, 127)",7
images/combined_shapes/shape_62_arrow.png,arrow,blue,"(127, 255, 0)",7
images/combined_shapes/shape_63_cross.png,cross,blue,"(0, 127, 0)",12
images/combined_shapes/shape_64_cross.png,cross,red,"(0, 255, 0)",12
images/combined_shapes/shape_65_star.png,star,white,"(255, 0, 127)",10
images/combined_shapes/shape_66_arrow.png,arrow,red,"(127, 0, 255)",7
images/combined_shapes/shape_67_star.png,star,blue,"(127, 127, 255)",10
images/combined_shapes/shape_69_cross.png,cross,red,"(127, 0, 255)",12
images/combined_shapes/shape_70_triangle_on_cross.png,triangle_on_cross,blue,"(0, 255, 0)",15
images/combined_shapes/shape_71_arrow.png,arrow,black,"(127, 0, 255)",7
images/combined_shapes/shape_72_arrow.png,arrow,white,"(127, 0, 255)",7
images/combined_shapes/shape_73_star.png,star,white,"(255, 0, 127)",10
images/combined_shapes/shape_75_triangle_on_cross.png,triangle_on_cross,blue,"(0, 127, 255)",15
images/combined_shapes/shape_76_star.png,star,blue,"(127, 0, 127)",10
images/combined_shapes/shape_77_star.png,star,white,"(0, 255, 127)",10
images/combined_shapes/shape_79_arrow.png,arrow,white,"(0, 0, 255)",7
images/combined_shapes/shape_82_triangle_on_cross.png,triangle_on_cross,red,"(255, 0, 127)",15
images/combined_shapes/shape_83_arrow.png,arrow,white,"(255, 127, 0)",7
images/combined_shapes/shape_85_star.png,star,blue,"(0, 127, 0)",10
images/combined_shapes/shape_87_triangle_on_cross.png,triangle_on_cross,white,"(127, 0, 255)",15
images/combined_shapes/shape_88_star.png,star,blue,"(0, 255, 255)",10
images/combined_shapes/shape_89_arrow.png,arrow,white,"(255, 0, 0)",7
images/combined_shapes/shape_90_arrow.png,arrow,blue,"(127, 127, 255)",7
images/combined_shapes/shape_91_star.png,star,red,"(255, 127, 0)",10
images/combined_shapes/shape_92_triangle_on_cross.png,triangle_on_cross,red,"(0, 255, 0)",15
images/combined_shapes/shape_95_triangle_on_cross.png,triangle_on_cross,black,"(127, 127, 255)",15
images/combined_shapes/shape_99_triangle_on_cross.png,triangle_on_cross,blue,"(0, 127, 127)",15
images/combined_shapes/shape_100_triangle_on_cross.png,triangle_on_cross,red,"(0, 255, 127)",15
images/combined_shapes/shape_101_star.png,star,red,"(0, 255, 0)",10
images/combined_shapes/shape_102_arrow.png,arrow,white,"(255, 0, 0)",7
images/combined_shapes/shape_105_arrow.png,arrow,white,"(255, 255, 0)",7
images/combined_shapes/shape_106_triangle_on_cross.png,triangle_on_cross,black,"(255, 255, 0)",15
images/combined_shapes/shape_107_triangle_on_cross.png,triangle_on_cross,white,"(0, 127, 255)",15
images/combined_shapes/shape_108_arrow.png,arrow,blue,"(127, 127, 255)",7
images/combined_shapes/shape_111_cross.png,cross,black,"(255, 255, 0)",12
images/combined_shapes/shape_112_cross.png,cross,red,"(255, 127, 0)",12
images/combined_shapes/shape_113_cross.png,cross,black,"(127, 0, 255)",12
images/combined_shapes/shape_114_star.png,star,blue,"(127, 0, 255)",10
images/combined_shapes/shape_116_cross.png,cross,blue,"(127, 255, 0)",12
images/combined_shapes/shape_117_triangle_on_cross.png,triangle_on_cross,blue,"(255, 127, 0)",15
images/combined_shapes/shape_118_arrow.png,arrow,white,"(0, 255, 127)",7
images/combined_shapes/shape_119_star.png,star,black,"(255, 0, 0)",10
images/combined_shapes/shape_123_triangle_on_cross.png,triangle_on_cross,black,"(127, 255, 0)",15
images/combined_shapes/shape_124_arrow.png,arrow,black,"(255, 0, 127)",7
images/combined_shapes/shape_126_triangle_on_cross.png,triangle_on_cross,white,"(255, 0, 0)",15
images/combined_shapes/shape_127_cross.png,cross,white,"(0, 127, 0)",12
images/combined_shapes/shape_128_star.png,star,white,"(127, 127, 255)",10
images/combined_shapes/shape_129_star.png,star,black,"(0, 0, 255)",10
images/combined_shapes/shape_130_triangle_on_cross.png,triangle_on_cross,white,"(0, 0, 255)",15
images/combined_shapes/shape_131_arrow.png,arrow,black,"(0, 127, 127)",7
images/combined_shapes/shape_134_triangle_on_cross.png,triangle_on_cross,red,"(127, 127, 0)",15
images/combined_shapes/shape_135_arrow.png,arrow,white,"(0, 255, 255)",7
images/combined_shapes/shape_136_cross.png,cross,black,"(127, 127, 0)",12
images/combined_shapes/shape_137_star.png,star,blue,"(0, 127, 127)",10
images/combined_shapes/shape_138_star.png,star,red,"(127, 127, 0)",10
images/combined_shapes/shape_139_cross.png,cross,black,"(0, 255, 127)",12
images/combined_shapes/shape_141_triangle_on_cross.png,triangle_on_cross,white,"(255, 0, 0)",15
images/combined_shapes/shape_142_arrow.png,arrow,red,"(127, 0, 127)",7
images/combined_shapes/shape_143_triangle_on_cross.png,triangle_on_cross,white,"(127, 0, 127)",15
images/combined_shapes/shape_144_arrow.png,arrow,black,"(255, 127, 0)",7
images/combined_shapes/shape_145_star.png,star,white,"(127, 0, 255)",10
images/combined_shapes/shape_146_star.png,star,black,"(127, 255, 0)",10
images/combined_shapes/shape_148_triangle_on_cross.png,triangle_on_cross,black,"(255, 255, 0)",15
images/combined_shapes/shape_149_arrow.png,arrow,black,"(127, 127, 255)",7
images/combined_shapes/shape_151_star.png,star,black,"(0, 127, 127)",10
images/combined_shapes/shape_153_cross.png,cross,blue,"(127, 127, 0)",12
images/combined_shapes/shape_154_triangle_on_cross.png,triangle_on_cross,black,"(255, 0, 127)",15
images/combined_shapes/shape_155_star.png,star,red,"(0, 255, 127)",10
images/combined_shapes/shape_156_triangle_on_cross.png,triangle_on_cross,blue,"(127, 0, 255)",15
images/combined_shapes/shape_157_star.png,star,white,"(127, 127, 0)",10
images/combined_shapes/shape_158_cross.png,cross,red,"(0, 255, 0)",12
images/combined_shapes/shape_159_arrow.png,arrow,red,"(127, 0, 127)",7
images/combined_shapes/shape_160_cross.png,cross,black,"(127, 255, 0)",12
images/combined_shapes/shape_161_arrow.png,arrow,blue,"(0, 255, 255)",7
images/combined_shapes/shape_163_triangle_on_cross.png,triangle_on_cross,red,"(255, 0, 255)",15
images/combined_shapes/shape_167_cross.png,cross,white,"(127, 127, 255)",12
images/combined_shapes/shape_168_triangle_on_cross.png,triangle_on_cross,blue,"(127, 127, 0)",15
images/combined_shapes/shape_169_star.png,star,black,"(127, 255, 0)",10
images/combined_shapes/shape_171_triangle_on_cross.png,triangle_on_cross,red,"(0, 255, 127)",15
images/combined_shapes/shape_175_cross.png,cross,white,"(127, 127, 0)",12
images/combined_shapes/shape_176_arrow.png,arrow,black,"(127, 0, 255)",7
images/combined_shapes/shape_177_cross.png,cross,black,"(127, 255, 0)",12
images/combined_shapes/shape_179_arrow.png,arrow,red,"(127, 0, 127)",7
images/combined_shapes/shape_183_arrow.png,arrow,white,"(127, 127, 0)",7
images/combined_shapes/shape_184_star.png,star,red,"(0, 127, 0)",10
images/combined_shapes/shape_185_triangle_on_cross.png,triangle_on_cross,red,"(0, 255, 255)",15
images/combined_shapes/shape_187_triangle_on_cross.png,triangle_on_cross,blue,"(255, 255, 0)",15
images/combined_shapes/shape_188_arrow.png,arrow,red,"(255, 255, 0)",7
images/combined_shapes/shape_189_triangle_on_cross.png,triangle_on_cross,white,"(255, 0, 255)",15
images/combined_shapes/shape_190_triangle_on_cross.png,triangle_on_cross,white,"(0, 127, 0)",15
images/combined_shapes/shape_191_cross.png,cross,red,"(0, 127, 127)",12
images/combined_shapes/shape_193_cross.png,cross,white,"(255, 127, 0)",12
images/combined_shapes/shape_195_triangle_on_cross.png,triangle_on_cross,red,"(127, 127, 0)",15
images/combined_shapes/shape_197_cross.png,cross,red,"(255, 0, 127)",12
images/combined_shapes/shape_198_arrow.png,arrow,red,"(255, 0, 127)",7
images/combined_shapes/shape_199_cross.png,cross,red,"(127, 127, 255)",12
images/irregular_poly/shape_0_sides_5.png,,black,"(127, 127, 0)",5
images/irregular_poly/shape_1_sides_4.png,,blue,"(0, 127, 0)",4
images/irregular_poly/shape_2_sides_1.png,,blue,"(0, 127, 255)",1
images/irregular_poly/shape_3_sides_4.png,,white,"(127, 127, 0)",4
images/irregular_poly/shape_4_sides_4.png,,white,"(127, 255, 127)",4
images/irregular_poly/shape_5_sides_3.png,,black,"(127, 255, 0)",3
images/irregular_poly/shape_6_sides_4.png,,black,"(0, 0, 255)",4
images/irregular_poly/shape_7_sides_8.png,,blue,"(127, 127, 0)",8
images/irregular_poly/shape_8_sides_4.png,,blue,"(127, 0, 255)",4
images/irregular_poly/shape_9_sides_6.png,,white,"(0, 0, 255)",6
images/irregular_poly/shape_10_sides_5.png,,black,"(255, 0, 127)",5
images/irregular_poly/shape_11_sides_6.png,,black,"(127, 0, 255)",6
images/irregular_poly/shape_12_sides_5.png,,black,"(0, 0, 255)",5
images/irregular_poly/shape_13_sides_6.png,,white,"(127, 0, 127)",6
images/irregular_poly/shape_14_sides_6.png,,blue,"(255, 0, 0)",6
images/irregular_poly/shape_15_sides_4.png,,white,"(127, 0, 255)",4
images/irregular_poly/shape_16_sides_5.png,,blue,"(255, 0, 255)",5
images/irregular_poly/shape_17_sides_5.png,,red,"(127, 127, 255)",5
images/irregular_poly/shape_18_sides_4.png,,black,"(127, 0, 255)",4
images/irregular_poly/shape_19_sides_5.png,,red,"(0, 0, 255)",5
images/irregular_poly/shape_20_sides_6.png,,black,"(0, 127, 127)",6
images/irregular_poly/shape_21_sides_4.png,,blue,"(255, 255, 0)",4
images/irregular_poly/shape_22_sides_6.png,,white,"(127, 255, 0)",6
images/irregular_poly/shape_23_sides_6.png,,white,"(255, 127, 0)",6
images/irregular_poly/shape_24_sides_4.png,,red,"(0, 127, 127)",4
images/irregular_poly/shape_25_sides_6.png,,blue,"(127, 255, 0)",6
images/irregular_poly/shape_26_sides_4.png,,white,"(127, 0, 255)",4
images/irregular_poly/shape_27_sides_4.png,,blue,"(0, 255, 255)",4
images/irregular_poly/shape_28_sides_6.png,,black,"(255, 0, 127)",6
images/irregular_poly/shape_29_sides_5.png,,white,"(127, 255, 127)",5
images/irregular_poly/shape_30_sides_6.png,,red,"(127, 127, 0)",6
images/irregular_poly/shape_31_sides_4.png,,blue,"(127, 127, 0)",4
images/irregular_poly/shape_32_sides_5.png,,white,"(0, 127, 0)",5
images/irregular_poly/shape_33_sides_4.png,,blue,"(127, 255, 127)",4
images/irregular_poly/shape_34_sides_5.png,,white,"(127, 127, 0)",5
images/irregular_poly/shape_35_sides_4.png,,blue,"(255, 255, 0)",4
images/irregular_poly/shape_36_sides_4.png,,black,"(255, 127, 0)",4
images/irregular_poly/shape_37_sides_7.png,,blue,"(0, 255, 255)",7
images/irregular_poly/shape_38_sides_5.png,,blue,"(127, 127, 255)",5
images/irregular_poly/shape_39_sides_5.png,,red,"(127, 255, 127)",5
images/irregular_poly/shape_40_sides_5.png,,black,"(127, 127, 255)",5
images/irregular_poly/shape_41_sides_5.png,,red,"(0, 127, 127)",5
images/irregular_poly/shape_42_sides_5.png,,red,"(127, 127, 0)",5
images/irregular_poly/shape_43_sides_7.png,,red,"(127, 127, 255)",7
images/irregular_poly/shape_44_sides_7.png,,black,"(0, 127, 127)",7
images/irregular_poly/shape_45_sides_5.png,,blue,"(127, 0, 255)",5
images/irregular_poly/shape_46_sides_4.png,,black,"(127, 127, 0)",4
images/irregular_poly/shape_47_sides_4.png,,white,"(255, 0, 255)",4
images/irregular_poly/shape_48_sides_5.png,,white,"(127, 127, 0)",5
images/irregular_poly/shape_49_sides_7.png,,red,"(0, 0, 255)",7
images/irregular_poly/shape_50_sides_5.png,,white,"(0, 255, 127)",5
images/irregular_poly/shape_51_sides_5.png,,blue,"(127, 0, 255)",5
images/irregular_poly/shape_52_sides_5.png,,white,"(127, 0, 255)",5
images/irregular_poly/shape_53_sides_6.png,,white,"(127, 0, 255)",6
images/irregular_poly/shape_54_sides_6.png,,blue,"(255, 127, 0)",6
images/irregular_poly/shape_55_sides_5.png,,black,"(127, 127, 255)",5
images/irregular_poly/shape_56_sides_6.png,,blue,"(0, 255, 255)",6
images/irregular_poly/shape_57_sides_4.png,,black,"(127, 0, 255)",4
images/irregular_poly/shape_58_sides_5.png,,white,"(0, 255, 0)",5
images/irregular_poly/shape_59_sides_7.png,,black,"(0, 255, 0)",7
images/irregular_poly/shape_60_sides_5.png,,red,"(255, 255, 0)",5
images/irregular_poly/shape_61_sides_5.png,,blue,"(255, 0, 127)",5
images/irregular_poly/shape_62_sides_6.png,,blue,"(127, 0, 127)",6
images/irregular_poly/shape_63_sides_5.png,,blue,"(0, 127, 127)",5
images/irregular_poly/shape_64_sides_4.png,,red,"(127, 255, 127)",4
images/irregular_poly/shape_65_sides_4.png,,black,"(127, 127, 255)",4
images/irregular_poly/shape_66_sides_5.png,,blue,"(255, 0, 0)",5
images/irregular_poly/shape_67_sides_5.png,,black,"(127, 255, 0)",5
images/irregular_poly/shape_68_sides_6.png,,white,"(255, 0, 0)",6
images/irregular_poly/shape_69_sides_5.png,,blue,"(0, 127, 127)",5
images/irregular_poly/shape_70_sides_7.png,,blue,"(0, 255, 255)",7
images/irregular_poly/shape_71_sides_5.png,,white,"(127, 127, 0)",5
images/irregular_poly/shape_72_sides_4.png,,white,"(255, 0, 255)",4
images/irregular_poly/shape_73_sides_6.png,,white,"(127, 255, 127)",6
images/irregular_poly/shape_74_sides_6.png,,red,"(255, 0, 255)",6
images/irregular_poly/shape_75_sides_6.png,,blue,"(0, 127, 255)",6
images/irregular_poly/shape_76_sides_4.png,,blue,"(0, 127, 127)",4
images/irregular_poly/shape_77_sides_5.png,,white,"(127, 0, 255)",5
images/irregular_poly/shape_78_sides_6.png,,red,"(127, 0, 255)",6
images/irregular_poly/shape_79_sides_5.png,,red,"(0, 0, 255)",5
images/irregular_poly/shape_80_sides_5.png,,white,"(0, 127, 255)",5
images/irregular_poly/shape_81_sides_7.png,,blue,"(0, 127, 255)",7
images/irregular_poly/shape_82_sides_6.png,,blue,"(0, 127, 127)",6
images/irregular_poly/shape_83_sides_5.png,,black,"(127, 255, 0)",5
images/irregular_poly/shape_84_sides_5.png,,black,"(127, 127, 255)",5
images/irregular_poly/shape_85_sides_5.png,,red,"(0, 127, 0)",5
images/irregular_poly/shape_86_sides_6.png,,black,"(127, 255, 0)",6
images/irregular_poly/shape_87_sides_5.png,,red,"(127, 0, 127)",5
images/irregular_poly/shape_88_sides_4.png,,black,"(127, 127, 255)",4
images/irregular_poly/shape_89_sides_6.png,,black,"(255, 0, 127)",6
images/irregular_poly/shape_90_sides_6.png,,white,"(127, 255, 127)",6
images/irregular_poly/shape_91_sides_6.png,,red,"(0, 127, 0)",6
images/irregular_poly/shape_92_sides_1.png,,blue,"(255, 0, 255)",1
images/irregular_poly/shape_93_sides_6.png,,blue,"(127, 255, 127)",6
