shape,background_color,shape_color,size,rotation,path
heptagon,red,"(255, 127, 0)",130,140,"images/heptagons/heptagon_bg-red_color-(255, 127, 0)_size-130_angle-140.png"
heptagon,blue,"(127, 0, 127)",150,240,"images/heptagons/heptagon_bg-blue_color-(127, 0, 127)_size-150_angle-240.png"
pentagon,white,"(255, 0, 127)",130,150,"images/pentagons/pentagon_bg-white_color-(255, 0, 127)_size-130_angle-150.png"
pentagon,white,"(127, 0, 255)",140,120,"images/pentagons/pentagon_bg-white_color-(127, 0, 255)_size-140_angle-120.png"
hexagon,red,"(127, 255, 127)",110,40,"images/hexagons/hexagon_bg-red_color-(127, 255, 127)_size-110_angle-40.png"
pentagon,red,"(0, 255, 127)",175,160,"images/pentagons/pentagon_bg-red_color-(0, 255, 127)_size-175_angle-160.png"
pentagon,red,"(255, 255, 0)",130,10,"images/pentagons/pentagon_bg-red_color-(255, 255, 0)_size-130_angle-10.png"
hexagon,white,"(0, 127, 127)",175,30,"images/hexagons/hexagon_bg-white_color-(0, 127, 127)_size-175_angle-30.png"
pentagon,black,"(0, 255, 127)",175,190,"images/pentagons/pentagon_bg-black_color-(0, 255, 127)_size-175_angle-190.png"
heptagon,black,"(255, 0, 127)",120,10,"images/heptagons/heptagon_bg-black_color-(255, 0, 127)_size-120_angle-10.png"
triangle,red,"(255, 0, 127)",100,70,"images/triangles/triangle_bg-red_color-(255, 0, 127)_size-100_angle-70.png"
heptagon,blue,"(0, 127, 0)",175,230,"images/heptagons/heptagon_bg-blue_color-(0, 127, 0)_size-175_angle-230.png"
hexagon,black,"(255, 0, 0)",100,50,"images/hexagons/hexagon_bg-black_color-(255, 0, 0)_size-100_angle-50.png"
heptagon,black,"(0, 0, 255)",130,260,"images/heptagons/heptagon_bg-black_color-(0, 0, 255)_size-130_angle-260.png"
heptagon,red,"(127, 255, 0)",140,260,"images/heptagons/heptagon_bg-red_color-(127, 255, 0)_size-140_angle-260.png"
triangle,black,"(0, 127, 127)",120,80,"images/triangles/triangle_bg-black_color-(0, 127, 127)_size-120_angle-80.png"
pentagon,blue,"(0, 255, 127)",130,290,"images/pentagons/pentagon_bg-blue_color-(0, 255, 127)_size-130_angle-290.png"
heptagon,white,"(0, 255, 127)",160,180,"images/heptagons/heptagon_bg-white_color-(0, 255, 127)_size-160_angle-180.png"
pentagon,black,"(0, 255, 127)",100,190,"images/pentagons/pentagon_bg-black_color-(0, 255, 127)_size-100_angle-190.png"
square,blue,"(0, 255, 255)",175,40,"images/squares/square_bg-blue_color-(0, 255, 255)_size-175_angle-40.png"
heptagon,white,"(127, 255, 127)",200,100,"images/heptagons/heptagon_bg-white_color-(127, 255, 127)_size-200_angle-100.png"
heptagon,red,"(127, 0, 255)",150,140,"images/heptagons/heptagon_bg-red_color-(127, 0, 255)_size-150_angle-140.png"
